Smog rating,Highway (L/100 km),Combined (L/100 km),Combined (mpg),CO2 emissions (g/km),Model year
7,6.0,7.2,39,169.0,2026
6,6.7,8.2,34,194.0,2026
6,6.5,8.1,35,190.0,2026
4,6.5,7.4,38,178.0,2026
4,7.2,8.4,34,198.0,2026
6,7.3,8.5,33,199.0,2026
6,7.6,9.2,31,216.0,2026
4,7.6,8.9,32,210.0,2026
6,8.0,9.3,30,219.0,2026
4,7.8,9.1,31,213.0,2026
6,7.8,9.0,31,212.0,2026
6,9.0,10.4,27,244.0,2026
