Model year,City (L/100 km),Highway (L/100 km),Combined (L/100 km),Combined (mpg),CO2 emissions (g/km),CO2 rating,Smog rating
2026,10.5,9.9,10.3,27,240,5,6
2026,10.5,9.7,10.1,28,236,5,6
2026,13.3,10.5,12.0,24,282,4,4
2026,13.7,10.8,12.4,23,292,4,4
2026,13.5,10.6,12.2,23,287,4,4
2026,12.7,10.5,11.7,24,274,4,4
2026,12.9,11.6,12.3,23,287,4,4
2026,12.0,9.2,10.7,26,252,4,4
2026,12.4,9.4,11.0,26,259,4,4
2026,12.6,9.4,11.1,25,262,4,4
2026,12.0,9.2,10.7,26,252,4,4
2026,9.9,7.4,8.8,32,205,5,4
2026,10.5,7.7,9.3,30,217,5,4
2026,8.2,5.9,7.2,39,169,6,7
2026,9.5,6.7,8.2,34,194,6,6
2026,9.1,6.5,8.1,35,190,6,6
2026,8.3,6.5,7.4,38,178,6,4
2026,9.4,7.2,8.4,34,198,5,4
2026,9.4,7.3,8.5,33,199,5,6
2026,10.4,7.6,9.2,31,216,5,6
2026,10.1,7.6,8.9,32,210,5,4
2026,10.4,8.0,9.3,30,219,5,6
2026,10.1,7.8,9.1,31,213,5,4
2026,10.0,7.8,9.0,31,212,5,6
2026,11.5,9.0,10.4,27,244,5,6
